id,release_date,names,likes,dislikes,views,duration
2,2019-03-14, Вова Бухаров Вася Медведев Кирилл Селегей Женя Сидоров Сергей Орлов,29063,968,1151065,32
3,2019-03-31, Алексей Шамутило Вова Бухаров Вася Медведев Саша Малой Костя Пушкин,27756,714,1193727,34
4,2019-05-17, Сергей Орлов Вова Бухаров Коля Андреев Дима Гаврилов Кирилл Селегей,25704,809,1073530,25
5,2019-06-11, Костя Пушкин Вова Бухаров Самвел Гиновян Вася Медведев Кирилл Селегей,26386,641,961325,26
6,2019-07-04, Артур Чапарян Коля Андреев Саша Малой Эльдар Гусейнов Вова Бухаров,47177,1284,2151398,36
7,2019-07-29, Андрей Шарапов Вася Медведев Дмитрий Романов Сергей Орлов Вова Бухаров,28893,774,1146184,42
8,2019-08-03, Ваня Усович Вася Медведев Саша Малой Коля Андреев Эльдар Гусейнов,51156,1703,1917989,46
9,2019-09-15, Дима Гаврилов Саша Малой Дима Коваль Вова Бухаров Эльдар Гусейнов,33725,1386,1338548,47
10,2019-10-05, Сергей Орлов Идрак Мирзализаде Эльдар Гусейнов Женя Сидоров Филипп Воронин,51891,1985,2961458,64
11,2019-11-13, Артем Андреев Марат Секаев Эльдар Гусейнов Гарик Оганисян Кирилл Селегей,26502,1135,1136350,45
12,2019-12-20, Александр Долгополов Коля Андреев Эльдар Гусейнов Василий Медведев Денис Антипин,36206,1314,1584538,54
13,2020-01-24, Алексей Квашонкин Дима Коваль Эльдар Гусейнов Чермен Качмазов Илья Овечкин,29497,875,1033426,26
14,2020-03-20, Идрак Мирзализаде Руслан Халитов Александр Киселев Кирилл Селегей Никита Дубровский,23387,830,845422,30
15,2020-05-03, Тимур Джанкезов Ярослава Тринадцатко Василий Медведев Эльдар Гусейнов Женя Сидоров,30918,1463,1265607,52
16,2020-06-20, Вера Котельникова Гарик Оганисян Костя Пушкин Вова Бухаров Василий Медведев,33264,777,864524,40
17,2020-08-14, Идрак Мирзализаде Эльдар Гусейнов Саша Малой Павел Кривец Владимир Бухаров,38003,1622,1770806,65
18,2020-08-28, Александр Киселев Дима Гаврилов Давид Квахаджелидзе Коля Андреев Эльдар Гусейнов,26471,929,1078127,58
20,2020-09-25, Сева Ловкачев Нидаль Абу-Газале Гарик Оганисян Кирилл Селегей Эльдар Гусейнов,30814,683,1004841,54
21,2020-10-09, Андрей Шарапов Денис Антипин Женя Сидоров Сергей Орлов Эльдар Гусейнов,39688,1060,1689825,51
22,2020-10-25, Василий Медведев Артем Калантарян Сержан Аманов Артем Андреев Дима Коваль,27809,1567,840704,34
23,2020-11-08, Владимир Бухаров Коля Андреев Денис Антипин Андрей Цеховский Дима Гаврилов,22734,725,696087,30
24,2020-11-22, Сергей Орлов Марат Секаев Владимир Бухаров Эльдар Гусейнов Данил Гугунава,37886,841,1469324,38
25,2020-12-07, Иван Ильин Артем Калантарян Алексей Шамутило Эльдар Гусейнов Саша Малой,59737,1766,2007366,53
26,2020-12-20, Илья Овечкин Николай Андреев Эльдар Гусейнов Кирилл Селегей Саша Малой,50414,1139,1547320,40
27,2021-01-06, Николай Андреев Костя Пушкин Сергей Орлов Эльдар Гусейнов Лев Еременко,46108,834,1374680,39
28,2021-01-17, Сергей Орлов Кирилл Селегей Лиза Аранова Вася Медведев Эльдар Гусейнов,42169,928,1279917,46
29,2021-02-07, Владимир Бухаров Александр Киселев Гурам Демидов Миша Кострецов Сергей Орлов,35795,742,1060010,30
30,2021-02-15, Саша Малой Руслан Халитов Денис Антипин Николай Андреев Эльдар Гусейнов,33159,1059,1089190,41
31,2021-02-21, Вова Бухаров Гарик Оганисян Саша Киселев Илья Овечкин Давид Квахаджелидзе,40005,561,1155227,38
33,2021-03-07, Самвел Гиновян Николай Андреев Дима Коваль Вова Бухаров Сева Ловкачев,38411,443,768321,30
34,2021-03-15, Николай Андреев Дима Колыбелкин Алексей Квашонкин Эльдар Гусейнов Вадим Постильный,28191,384,567926,27
35,2021-03-29, Вова Бухаров Эльдар Гусейнов Саша Киселев Филипп Воронин Артем Калантарян,26585,596,757130,43
35.5,2021-04-05, Вова Бухаров Идрак Мирзализаде Саша Малой Эльдар Гусейнов Саша Киселев,29695,2095,1006580,53
36,2021-04-10, Сергей Орлов Павел Сбродов Гарик Оганисян Эльдар Гусейнов Богдан Лисевский,42428,611,1331085,46.5
37,2021-04-20, Дима Гаврилов Андрей Цеховский Эльдар Гусейнов Павел Кривец Кирилл Селегей,36830,828,1032417,48
38,2021-04-26, Артем Калантарян Марат Секаев Илья Овечкин Эльдар Гусейнов Денис Антипин,33143,816,1075890,42
39,2021-05-02, Ярослава Тринадцатко Николай Андреев Эльдар Гусейнов Саша Киселев Самвел Гиновян,33314,791,1012628,39
40,2021-05-10, Кирилл Селегей Гарик Оганисян Эльдар Гусейнов Идрак Мирзализаде Коля Болт,34532,968,1127802,54
41,2021-06-06, Александр Киселев Марат Секаев Эльдар Гусейнов Костя Захарин Сергей Орлов,35423,1060,1245489,44
42,2021-06-23, Дима Коваль Гарик Оганисян Давид Квахаджелидзе Денис Антипин Вова Бухаров,26857,833,1097718,36
43,2021-07-24, Артем Калантарян Дима Гаврилов Эдик Чернышенко Нидаль Абу-Газале Вова Бухаров,26022,1174,703881,34
44,2021-08-02, Даниил Слободенюк Саша Ни Артем Калантарян Руслан Халитов Женя Сидоров,24901,1245,596124,44
45,2021-08-07, Лев Еременко Илья Овечкин Костя Пушкин Ара Акопян Эльдар Гусейнов,40453,793,1002806,51
46,2021-08-12, Вова Бухаров Самвел Гиновян Ариана Лолаева Иван Явиц Чермен Качмазов,40483,1203,1044201,48
47,2021-08-21, Кирилл Селегей Эльдар Гусейнов Алексей Квашонкин Николай Андреев Никита Дубровский,35564,1105,896204,30
48,2021-08-28, Александр Киселев Гурам Демидов Дима Коваль Артем Емельянов Илья Овечкин,29309,1633,844677,30
49,2021-09-06, Вера Котельникова Лев Марсел Миша Кострецов Женя Сидоров Фил Воронин,28304,1366,676750,30.5
50,2021-09-13, Саша Малой Артем Калантарян Вася Медведев Марат Секаев Гоша Сморгуленко,25308,673,613102,32.5
51,2021-09-22, Кирилл Селегей Ника Тарасевич Никита Дубровский Самвел Гиновян Аля Кокушкина,27585,1479,681395,36.5
52,2021-10-02, Чермен Качмазов Эдуард Чернышенко Алексей Соловьев Сева Ловкачев Руслан Халитов,39166,900,864072,48
53,2021-10-09, Данила Поперечный Сергей Орлов Гарик Оганисян Денис Смирнов Богдан Лисевский,70876,1609,1413410,46.5
54,2021-10-16, Дима Гаврилов Эльдар Гусейнов Сержан Аманов Женя Сидоров Юля Жеребцова,32037,1603,938417,45.5
55,2021-10-23, Вера Котельникова Наташа Судьина Лиза Аранова Ирина Приходько Ярослава Тринадцатко,39158,2642,720539,29.7
56,2021-10-30, Давид Квахаджелидзе Илья Овечкин Эльдар Гусейнов Николай Андреев Егор Александров,28072,769,659630,41.5
57,2021-11-13, Артем Калантарян Илья Овечкин Дмитрий Колыбелкин Егор Свирский Михаил Босов,24295,722,568080,26.5
58,2021-11-20, Идрак Мирзализаде Алексей Шамутило Артем Калантарян Лев Еременко Вадим Постильный,31819,971,676205,34
59,2021-11-27, Марк Сергиенко Сергей Зорик Тимур Хамадуллин Саша Киселев Руслан Халитов,19984,897,539786,35
60,2021-12-04, Кирилл Селегей Никита Дубровский Гарик Оганисян Соня Медовщикова Леша Шамутило,33200,1353,586673,32.5
61,2021-12-11, Денис Чужой Дмитрий Колыбелкин Салават Дюсенгалиев Толя Бороздин Илья Овечкин,31213,686,799265,46.8
62,2021-12-18, Александр Киселев Ара Акопян Артем Калантарян Сержан Аманов Кирилл Селегей,21082,883,514081,30.5
63,2021-12-25, Ярослава Тринадцатко Женя Сидоров Илья Овечкин Алексей Квашонкин Василий Медведев,37879,848,926484,44
64,2022-01-08, Кирилл Селегей Костя Захарин Расул Чабдаров Сержан Аманов Давид Квахаджелидзе,34372,1121,786727,26.5
65,2022-01-16, Вова Бухаров Эльдар Гусейнов Денис Антипин Ньургун Атаков Семен Деяк,26188,1513,684112,38.5
66,2022-01-22, Эд Овсепян Никита Дубровский Артем Калантарян Кирилл Ферапонтов Игорь Тарлецкий,17726,948,463103,27.5
67,2022-01-29, Эльдар Гусейнов Кирилл Селегей Иван Явиц Лука Хиникадзе Владимир Бухаров,35735,589,886416,43
68,2022-02-05, Костя Пушкин Дима Коваль Илья Овечкин Марат Секаев Вова Бухаров,79328,655,1152779,46.5
69,2022-02-13, Артем Емельянов Алексей Квашонкин Самвел Гиновян Николай Андреев Саша Малой,37414,628,745378,42
70,2022-02-09, Дима Гаврилов Андрей Айрапетов Дима Колыбелкин Денис Чужой Руслан Халитов,36978,864,920715,51
71,2022-03-12, Артем Емельянов Маргарита Якобсон Баграт Казарян Хетаг Хугаев Илья Овечкин,29129,2161,780618,49.3
72,2022-03-26, Костя Широков Самвел Гиновян Олег Боярский Руслан Халитов Артем Емельянов,26742,1662,754312,47
73,2022-04-25, Саша Ни Сева Ловкачев Ярослава Тринадцатко Костя Захарин Эльдар Гусейнов,24336,1368,665009,33
