id,release_date,names,likes,dislikes,views,duration,age_days,males,females,Вова_Бухаров,Тимур_Джанкезов,Иван_Явиц,Юля_Жеребцова,Андрей_Цеховский,Нидаль_Абу-Газале,Костя_Широков,Ньургун_Атаков,Дима_Гаврилов,Гурам_Демидов,Фил_Воронин,Коля_Андреев,Толя_Бороздин,Давид_Квахаджелидзе,Саша_Киселев,Егор_Александров,Игорь_Тарлецкий,Ольга_Малащенко,Кирилл_Ферапонтов,Самвел_Гиновян,Хетаг_Хугаев,Расул_Чабдаров,Сержан_Аманов,Тимур_Хамадуллин,Эдуард_Чернышенко,Ариана_Лолаева,Михаил_Босов,Эд_Овсепян,Вадим_Постильный,Артем_Калантарян,Ирина_Приходько,Алексей_Соловьев,Артем_Андреев,Ваня_Усович,Семен_Деяк,Николай_Андреев,Эдик_Чернышенко,Олег_Боярский,Саша_Ни,Салават_Дюсенгалиев,Чермен_Качмазов,Вася_Медведев,Данила_Поперечный,Марат_Секаев,Артем_Емельянов,Александр_Киселев,Александр_Долгополов,Артур_Чапарян,Иван_Ильин,Коля_Болт,Сева_Ловкачев,Денис_Антипин,Никита_Дубровский,Руслан_Халитов,Миша_Кострецов,Эльдар_Гусейнов,Алексей_Квашонкин,Денис_Чужой,Дима_Коваль,Леша_Шамутило,Алексей_Шамутило,Андрей_Шарапов,Даниил_Слободенюк,Ара_Акопян,Наташа_Судьина,Илья_Овечкин,Яся_Тринадцатко,Богдан_Лисевский,Илья_Бурков,Лиза_Аранова,Андрей_Айрапетов,Костя_Пушкин,Туяна_Хоровиц,Павел_Сбродов,Баграт_Казарян,Гарик_Оганисян,Соня_Медовщикова,Аля_Кокушкина,Ваня_Ильин,Дима_Колыбелкин,Саша_Малой,Дмитрий_Романов,Василий_Медведев,Ника_Тарасевич,Данил_Гугунава,Лука_Хиникадзе,Филипп_Воронин,Егор_Свирский,Лев_Еременко,Идрак_Мирзализаде,Гоша_Сморгуленко,Владимир_Бухаров,Павел_Кривец,Маргарита_Якобсон,Денис_Смирнов,Марк_Сергиенко,Вера_Котельникова,Сергей_Орлов,Женя_Сидоров,Сергей_Зорик,Дмитрий_Колыбелкин,Кирилл_Селегей,Лев_Марсел,Костя_Захарин,Ярослава_Тринадцатко
2.0,2019-03-14,"['Вова_Бухаров', 'Вася_Медведев', 'Кирилл_Селегей', 'Женя_Сидоров', 'Сергей_Орлов']",29063,968,1151065,32.0,1323,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3.0,2019-03-31,"['Алексей_Шамутило', 'Вова_Бухаров', 'Вася_Медведев', 'Саша_Малой', 'Костя_Пушкин']",27756,714,1193727,34.0,1306,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2019-05-17,"['Сергей_Орлов', 'Вова_Бухаров', 'Коля_Андреев', 'Дима_Гаврилов', 'Кирилл_Селегей']",25704,809,1073530,25.0,1259,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.0,2019-06-11,"['Костя_Пушкин', 'Вова_Бухаров', 'Самвел_Гиновян', 'Вася_Медведев', 'Кирилл_Селегей']",26386,641,961325,26.0,1234,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.0,2019-07-04,"['Артур_Чапарян', 'Коля_Андреев', 'Саша_Малой', 'Эльдар_Гусейнов', 'Вова_Бухаров']",47177,1284,2151398,36.0,1211,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,2019-07-29,"['Андрей_Шарапов', 'Вася_Медведев', 'Дмитрий_Романов', 'Сергей_Орлов', 'Вова_Бухаров']",28893,774,1146184,42.0,1186,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.0,2019-08-03,"['Ваня_Усович', 'Вася_Медведев', 'Саша_Малой', 'Коля_Андреев', 'Эльдар_Гусейнов']",51156,1703,1917989,46.0,1181,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2019-09-15,"['Дима_Гаврилов', 'Саша_Малой', 'Дима_Коваль', 'Вова_Бухаров', 'Эльдар_Гусейнов']",33725,1386,1338548,47.0,1138,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,2019-10-05,"['Сергей_Орлов', 'Идрак_Мирзализаде', 'Эльдар_Гусейнов', 'Женя_Сидоров', 'Филипп_Воронин']",51891,1985,2961458,64.0,1118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11.0,2019-11-13,"['Артем_Андреев', 'Марат_Секаев', 'Эльдар_Гусейнов', 'Гарик_Оганисян', 'Кирилл_Селегей']",26502,1135,1136350,45.0,1079,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
